text,character
,0
' 08 int. airplane lavatory - intercut 308,0
'32.,0
'79 .,0
'is fookin' boat got yer chain,0
'the mother daughter diamonds...',0
(,0
( more ),0
( then),0
(03.18.14)  79.,0
(122) int. club -- night,0
(18b) int. foyer and stairway -- night,0
(31) int.ext. club -- money window -- night,0
(73) int. club -- morning,0
(76) int. rehearsal hall -- day,0
(a beat),0
(a pause),0
(a shrug:),0
(a silence),0
(alarmed),0
(amazed),0
(angry),0
(annoyed),0
(appalled),0
(applauding),0
(as he walks over to her side of,0
(as if tearing off the,0
(beat),0
(behind him),0
(blinking),0
(c01tinlji,0
(c0intinjzd),0
(calling),0
(checking her notes,0
(coming clean),0
(con' t ),0
(cont'd),0
(continued),0
(continued) - next file,0
(continuing),0
(correctively),0
(deflated),0
(dying),0
(elated),0
(english),0
(exasperated),0
(excitedly),0
(extending hand),0
(eyes widening),0
(fiddles with computer),0
(finally,0
(finally),0
(flashback) int.- diner,0
(flirtatious),0
(frowning),0
(frozen),0
(genuine),0
(grinning),0
(guilty),0
(hammy italian),0
(hardly listening),0
(he bows and starts off.,0
(hearing this),0
(hoarsely),0
(hopeful),0
(into phone),0
(into walkie),0
(ironically),0
(laughs),0
(lying),0
(mark nods),0
(matter-of-fact),0
(mo re),0
(more),0
(mumbles),0
(mumbly),0
(muttering),0
(mutters),0
(no answer),0
(nodding sagely),0
(nodding),0
(noticing),0
(o.s.),0
(on speakers),0
(os),0
"(os, talks in cambodian)",0
(out of the side of her,0
(pakistani),0
(pause),0
(playing along),0
(playing mommy),0
(pleading),0
(pleasantly),0
(psychotically),0
(quizzically),0
(radio),0
(re: jacob),0
(realizing the,0
(remembering),0
(resolute),0
(revised scene,0
(screaming),0
"(she moves to sit, and",0
(shouting),0
(shouts),0
(shrugging),0
(sighs),0
(sitting up),0
(skeptical),0
(smiles),0
(smiling),0
(softly),0
(song),0
(sotto voce),0
(startled),0
(stunned beat),0
(stunned),0
(sullen),0
(surprised),0
(swallowing her,0
(tammy wynette's don't touch me over:),0
(taunting),0
(tf),0
(the following is all footage from mad max i),0
(then),0
(thinking fast),0
(thinking),0
(thinks),0
(through phone),0
(time lapse),0
(timid),0
(to adam),0
(to anna),0
(to ayesha),0
(to bikers),0
